model_family,model_name,parameters_json,evaluation_users,precision_at_5,precision_at_10,recall_at_5,recall_at_10,hit_rate_at_5,hit_rate_at_10,ndcg_at_5,ndcg_at_10,mrr,map_at_10,median_positive_rank,mean_positive_rank,catalog_coverage_at_10,novelty_at_10,intra_list_diversity_at_10,average_recommended_popularity_at_10,long_tail_share_at_10,random_ndcg_at_10_sd
random_sanity,random_seed_11,"{""seed"": 11, ""stage"": ""internal_tuning""}",24968.0,0.006600448574174944,0.006604453700736944,0.03300224287087472,0.06604453700736944,0.03300224287087472,0.06604453700736944,0.01956750600383647,0.030125199084799163,0.037820206388619076,0.019497957385453377,73.0,72.55895546299263,,,,,,
random_sanity,random_seed_29,"{""seed"": 29, ""stage"": ""internal_tuning""}",24968.0,0.007297340595962832,0.007197212431912849,0.03648670297981416,0.07197212431912849,0.03648670297981416,0.07197212431912849,0.0215565486502981,0.03286430734408959,0.0393189387859614,0.02128702516999537,73.0,72.42294136494714,,,,,,
random_sanity,random_seed_42,"{""seed"": 42, ""stage"": ""internal_tuning""}",24968.0,0.00712111502723486,0.007020986863184876,0.0356055751361743,0.07020986863184876,0.0356055751361743,0.07020986863184876,0.02138367474622855,0.03245446465415332,0.03948322931524461,0.021273420454372072,72.0,72.155038449215,,,,,,
random_sanity,random_seed_71,"{""seed"": 71, ""stage"": ""internal_tuning""}",24968.0,0.00712111502723486,0.007093079141300865,0.0356055751361743,0.07093079141300865,0.0356055751361743,0.07093079141300865,0.020787887151905507,0.032080560508493554,0.038818909926121005,0.02055364199508705,72.0,72.04577859660365,,,,,,
random_sanity,random_seed_101,"{""seed"": 101, ""stage"": ""internal_tuning""}",24968.0,0.007097084267862865,0.007028997116308876,0.03548542133931432,0.07028997116308876,0.03548542133931432,0.07028997116308876,0.020968424808351864,0.03206945031836773,0.03884817193411519,0.02074596753685988,73.0,72.62896507529638,,,,,,
random_sanity,random_seed_average,"{""aggregation"": ""mean_metrics"", ""seeds"": [11, 29, 42, 71, 101], ""stage"": ""internal_tuning""}",24968.0,0.007047420698494072,0.006988945850688882,0.035237103492470355,0.06988945850688881,0.035237103492470355,0.06988945850688881,0.020852808272124095,0.03191879638198067,0.038857891270012254,0.02067160250835355,72.6,72.36233578981096,,,,,,0.0010543703076852044
training_popularity,training_popularity,"{""score"": ""internal_training_interaction_count""}",24968.0,0.0011614867029798143,0.001906440243511695,0.005807433514899071,0.01906440243511695,0.005807433514899071,0.01906440243511695,0.0026551249677641423,0.006872256166192451,0.01886183738212356,0.003345266067550592,89.0,85.09460108939443,,,,,,
item_item_cosine,item_cosine_sum_shrink_0,"{""aggregation"": ""sum"", ""shrinkage"": 0.0}",24968.0,0.03742390259532201,0.030178628644665174,0.18711951297661006,0.30178628644665173,0.18711951297661006,0.30178628644665173,0.12093765091154615,0.15790346225948876,0.13614476644358844,0.11457343177044396,25.0,40.19428868952259,,,,,,
item_item_cosine,item_cosine_sum_shrink_10,"{""aggregation"": ""sum"", ""shrinkage"": 10.0}",24968.0,0.0369032361422621,0.030222685036847163,0.18451618071131048,0.30222685036847163,0.18451618071131048,0.30222685036847163,0.11986363177017562,0.15783712716810178,0.13589323785551044,0.11440219671655909,25.0,40.24907882089074,,,,,,
item_item_cosine,item_cosine_sum_shrink_50,"{""aggregation"": ""sum"", ""shrinkage"": 50.0}",24968.0,0.036638897789170136,0.03014258250560718,0.1831944889458507,0.3014258250560718,0.1831944889458507,0.3014258250560718,0.11926819349316616,0.15741935204971333,0.13563326969053388,0.11411195218768913,25.0,40.284404037167576,,,,,,
item_item_cosine,item_cosine_sum_shrink_100,"{""aggregation"": ""sum"", ""shrinkage"": 100.0}",24968.0,0.036502723486062164,0.030114546619673183,0.1825136174303108,0.3011454661967318,0.1825136174303108,0.3011454661967318,0.11892121250064543,0.15720791906371312,0.13547644410364904,0.11392835210021209,25.0,40.289490547901316,,,,,,
item_item_cosine,item_cosine_mean_shrink_0,"{""aggregation"": ""mean"", ""shrinkage"": 0.0}",24968.0,0.03742390259532201,0.030178628644665174,0.18711951297661006,0.30178628644665173,0.18711951297661006,0.30178628644665173,0.12093765091154615,0.15790346225948876,0.13614476644358844,0.11457343177044396,25.0,40.19428868952259,,,,,,
item_item_cosine,item_cosine_mean_shrink_10,"{""aggregation"": ""mean"", ""shrinkage"": 10.0}",24968.0,0.0369032361422621,0.030222685036847163,0.18451618071131048,0.30222685036847163,0.18451618071131048,0.30222685036847163,0.11986363177017562,0.15783712716810178,0.13589323785551044,0.11440219671655909,25.0,40.24907882089074,,,,,,
item_item_cosine,item_cosine_mean_shrink_50,"{""aggregation"": ""mean"", ""shrinkage"": 50.0}",24968.0,0.036638897789170136,0.03014258250560718,0.1831944889458507,0.3014258250560718,0.1831944889458507,0.3014258250560718,0.11926819349316616,0.15741935204971333,0.13563326969053388,0.11411195218768913,25.0,40.284404037167576,,,,,,
item_item_cosine,item_cosine_mean_shrink_100,"{""aggregation"": ""mean"", ""shrinkage"": 100.0}",24968.0,0.036502723486062164,0.030114546619673183,0.1825136174303108,0.3011454661967318,0.1825136174303108,0.3011454661967318,0.11892121250064543,0.15720791906371312,0.13547644410364904,0.11392835210021209,25.0,40.289490547901316,,,,,,
truncated_svd,svd_16_iter_7,"{""n_components"": 16, ""n_iter"": 7}",24968.0,0.01830342838833707,0.018327459147709068,0.09151714194168535,0.1832745914770907,0.09151714194168535,0.1832745914770907,0.05409219183234996,0.08345471682274345,0.07702498549065888,0.053879632596390045,37.0,47.52431111823134,,,,,,
truncated_svd,svd_16_iter_15,"{""n_components"": 16, ""n_iter"": 15}",24968.0,0.019593079141300866,0.02018984299903877,0.09796539570650432,0.2018984299903877,0.09796539570650432,0.2018984299903877,0.05813498632674833,0.09126251932751396,0.0827175085473563,0.058651375347746705,33.0,44.34664370394105,,,,,,
truncated_svd,svd_32_iter_7,"{""n_components"": 32, ""n_iter"": 7}",24968.0,0.0212592117910926,0.01918055110541493,0.106296058955463,0.1918055110541493,0.106296058955463,0.1918055110541493,0.06254364889086529,0.08993262076348262,0.08190045308399979,0.05952544653982494,38.0,49.55158603011855,,,,,,
truncated_svd,svd_32_iter_15,"{""n_components"": 32, ""n_iter"": 15}",24968.0,0.022989426465876324,0.021587632169176547,0.11494713232938161,0.21587632169176546,0.11494713232938161,0.21587632169176546,0.07072757805052234,0.10298327393803859,0.09250403026438561,0.06939077256984179,33.0,46.23309836590836,,,,,,
truncated_svd,svd_64_iter_7,"{""n_components"": 64, ""n_iter"": 7}",24968.0,0.023045498237744315,0.018916212752322973,0.11522749118872157,0.18916212752322972,0.11522749118872157,0.18916212752322972,0.07414259240650566,0.0978189303625815,0.09134450318643249,0.07044749024783468,43.0,53.82822012175585,,,,,,
truncated_svd,svd_64_iter_15,"{""n_components"": 64, ""n_iter"": 15}",24968.0,0.027002563280999682,0.022989426465876324,0.1350128164049984,0.22989426465876323,0.1350128164049984,0.22989426465876323,0.08769298499941267,0.1183875569755695,0.10565341744105154,0.08490625143040234,37.0,51.06456264017943,,,,,,
truncated_svd,svd_96_iter_7,"{""n_components"": 96, ""n_iter"": 7}",24968.0,0.02431912848446011,0.018715956424223003,0.12159564242230055,0.18715956424223004,0.12159564242230055,0.18715956424223004,0.08247538579921511,0.1035311987025853,0.09722661546606239,0.0782981422570096,50.0,59.222164370394104,,,,,,
